"freq"	"prev"	"p.freq"	"p.prev"	"p"	"contaminant"
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__"	0.000260141401309174	116	NA	0.542425224648683	0.542425224648683	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__"	8.71459064042329e-05	68	NA	0.5	0.5	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__"	2.12036816546612e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__"	7.58886902920368e-07	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium"	1.03161061238469e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter"	5.44220661167945e-06	5	NA	0.663037536717657	0.663037536717657	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__"	5.93041781917104e-06	5	NA	0.663037536717657	0.663037536717657	FALSE
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter"	4.34825444551619e-06	4	NA	0.635330828733136	0.635330828733136	FALSE
"k__Bacteria;p__Acidobacteria;c__BPC102;o__B110;f__;g__"	8.9638505833674e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__"	1.98825002106981e-05	11	NA	0.390721334963533	0.390721334963533	FALSE
"k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__"	1.72310154549798e-05	32	NA	0.816703255437889	0.816703255437889	FALSE
"k__Bacteria;p__Acidobacteria;c__OS-K;o__;f__;g__"	3.18850017670668e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__"	6.76989126525772e-06	14	NA	0.834871232733884	0.834871232733884	FALSE
"k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__"	1.04358780368589e-06	3	NA	0.113498968522808	0.113498968522808	FALSE
"k__Bacteria;p__Acidobacteria;c__S035;o__;f__;g__"	2.0620509059332e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__"	3.15544305568073e-05	37	NA	0.423894831593391	0.423894831593391	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__PAUC26f;g__"	1.12646869687455e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__"	7.64936287425149e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"	4.49426918476622e-05	43	NA	0.162178133148745	0.162178133148745	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__"	2.53149835441439e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__[Bryobacteraceae];g__Bryobacter"	6.48155349874258e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__"	9.76153397454802e-06	12	NA	0.806447571498485	0.806447571498485	FALSE
"k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24;f__;g__"	3.0319529274758e-06	4	NA	0.0162698231349872	0.0162698231349872	TRUE
"k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100;f__;g__"	1.53210853815206e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__PK29;f__;g__"	2.17254964334427e-05	31	NA	0.805000631171664	0.805000631171664	FALSE
"k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__"	0.000113029661191665	75	NA	0.499999999999999	0.499999999999999	FALSE
"k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__"	8.71313714535865e-05	64	NA	0.635575798278577	0.635575798278577	FALSE
"k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__"	4.91093820357441e-06	10	NA	0.359273273478853	0.359273273478853	FALSE
"k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__"	3.15952311963003e-06	10	NA	0.10332271650093	0.10332271650093	FALSE
"k__Bacteria;p__Actinobacteria;__;__;__;__"	9.25473522121666e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;__;__"	1.33844683135137e-05	12	NA	0.421105487068329	0.421105487068329	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__"	9.59936604883777e-05	80	NA	0.42538871717537	0.42538871717537	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__AKIW874;g__"	7.19202674226917e-05	69	NA	0.450311023473392	0.450311023473392	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__"	8.14315474651813e-05	50	NA	0.430415718237899	0.430415718237899	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__EB1017;g__"	0.000213039682011239	100	NA	0.499999999999999	0.499999999999999	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;__"	5.15512726483299e-09	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__"	5.8739007435301e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia"	2.88471246277826e-05	24	NA	0.702566026033724	0.702566026033724	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__JdFBGBact;g__"	1.90451551486901e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__"	5.26921266636684e-06	6	NA	0.688653464613911	0.688653464613911	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__"	5.38457624033156e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__"	1.10324314872214e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__wb1_P06;g__"	9.9981410352944e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;__;__;__"	3.73933515020679e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__;f__;g__"	4.94566555812046e-09	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__"	0.000139063421813896	74	NA	0.690681749984307	0.690681749984307	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__"	0.00015868628226804	86	NA	0.0482623890199599	0.0482623890199599	TRUE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__"	1.43651729823384e-05	5	NA	0.663037536717657	0.663037536717657	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__"	1.00291808150344e-05	11	NA	0.390721334963533	0.390721334963533	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum"	2.28401817053037e-05	14	NA	0.834871232733884	0.834871232733884	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces"	0.00127503542123664	282	NA	0.999664199290813	0.999664199290813	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium"	6.76442007568385e-06	4	NA	0.635330828733136	0.635330828733136	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus"	1.12391532618851e-05	15	NA	0.847487812704778	0.847487812704778	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09"	2.55792280109876e-05	26	NA	0.735809752908841	0.735809752908841	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum"	8.79044443852054e-05	37	NA	0.86617961381271	0.86617961381271	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinospicaceae;g__"	2.78114416738278e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;__"	1.21104846491485e-06	4	NA	0.635330828733136	0.635330828733136	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Lentzea"	1.19221311227425e-05	10	NA	0.359273273478853	0.359273273478853	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Bogoriellaceae;g__Georgenia"	2.57690696376705e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium"	2.88681382250547e-05	34	NA	0.838215587829565	0.838215587829565	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;__"	5.50255279932019e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea"	1.65233153531046e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas"	5.00736108266978e-05	11	NA	0.390721334963533	0.390721334963533	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Demequina"	1.13507153648144e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium"	0.067009753927048	1432	NA	1	1	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__"	1.88144975898256e-05	37	NA	0.662990463966956	0.662990463966956	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cryptosporangiaceae;g__Cryptosporangium"	3.38449346040724e-06	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;__"	6.43194277732061e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__"	3.52570272543872e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium"	1.27738503940671e-05	25	NA	0.931291892516281	0.931291892516281	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter"	0.000362854147353929	108	NA	0.960603623240375	0.960603623240375	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Helcobacillus"	1.07365657673036e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus"	4.72926537680235e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;__"	2.86401452811466e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia"	9.37237492763313e-06	10	NA	0.359273273478853	0.359273273478853	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;__"	8.08666184378154e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__"	3.87185241545783e-05	33	NA	0.168131745297464	0.168131745297464	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Kaistibacter"	6.97486058907515e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;__"	4.23625024795022e-06	6	NA	0.223611361850298	0.223611361850298	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__"	1.06553031391928e-05	8	NA	0.734228084440366	0.734228084440366	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus"	1.56392267922311e-05	12	NA	0.421105487068329	0.421105487068329	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus"	6.74328437042841e-06	8	NA	0.734228084440366	0.734228084440366	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter"	1.05220388200742e-05	8	NA	0.293313925313874	0.293313925313874	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Glycomyces"	8.31369717239282e-06	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae;g__Haloglycomyces"	2.02321584729025e-06	2	NA	0.0758082497212933	0.0758082497212933	TRUE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia"	2.14411310609729e-07	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__"	7.47384984880137e-05	61	NA	0.774137444414497	0.774137444414497	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__"	2.39573098527222e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Arsenicicoccus"	6.34849350407861e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Kytococcus"	4.29241536491462e-05	7	NA	0.712335303994509	0.712335303994509	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Ornithinimicrobium"	1.54034629149754e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus"	4.20972565416917e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Serinicoccus"	1.10527760329129e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Terracoccus"	6.53866894485568e-06	3	NA	0.113498968522808	0.113498968522808	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Jonesiaceae;g__Jonesia"	3.93825183442786e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;__"	1.79619122737806e-06	5	NA	0.187541533512706	0.187541533512706	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__"	7.36818850509881e-06	8	NA	0.734228084440366	0.734228084440366	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineococcus"	7.27765252331314e-09	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Kineosporia"	3.7256282810118e-09	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__Quadrisphaera"	3.47623075080675e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__"	4.44112386532057e-05	24	NA	0.412988591912921	0.412988591912921	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__"	1.32285219383364e-05	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Agromyces"	1.3155338230319e-05	14	NA	0.478614700802307	0.478614700802307	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Aquiluna"	4.35393970680563e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Candidatus Rhodoluna"	2.62575888370377e-08	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Cryocola"	7.15399749834531e-06	8	NA	0.734228084440366	0.734228084440366	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium"	7.96615247632803e-07	5	NA	0.663037536717657	0.663037536717657	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter"	2.67233963761551e-05	13	NA	0.821219249543494	0.821219249543494	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium"	6.35407584713146e-06	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Salinibacterium"	8.06511625042718e-07	3	NA	0.605364056955314	0.605364056955314	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Yonghaparkia"	2.89059013112499e-07	2	NA	0.572954341826041	0.572954341826041	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;__"	1.32126226118557e-06	7	NA	0.712335303994509	0.712335303994509	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter"	9.72978709971636e-05	58	NA	0.966876321197879	0.966876321197879	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Citricoccus"	1.20920570723328e-07	1	NA	NA	NA	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria"	6.39109507060681e-05	39	NA	0.693528446980674	0.693528446980674	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Microbispora"	0.000127234852298086	10	NA	0.359273273478853	0.359273273478853	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus"	0.000186871500652975	124	NA	0.980996365695915	0.980996365695915	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia"	8.80979758232905e-05	22	NA	0.368056004659628	0.368056004659628	FALSE
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia"	0.00520491731886243	632	NA	0.999999999779456	0.999999999779456	FALSE
